SongID,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,hit,fullpct,subpct,p1,r1,w,off
A Moment Like ThisKelly Clarkson,No Explicit Content,228280,60,0.414,0.572,G#/Ab,-3.918,major,0.0311,0.163,0,0.115,0.16,145.184,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
A Must To AvoidHerman's Hermits,No Explicit Content,115240,21,0.512,0.705,E,-5.799,major,0.0287,0.0472,0,0.172,0.88,134.934,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
A Prayer And A Juke BoxLittle Anthony And The Imperials,No Explicit Content,149400,9,0.423,0.301,G,-14.698,major,0.0327,0.674,0,0.086,0.468,102.852,1,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
A Quiet PlaceGarnet Mimms & The Enchanters,No Explicit Content,144306,27,0.689,0.378,G,-12.22,minor,0.0398,0.751,0,0.24,0.75,105.775,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
A Sky Full Of StarsColdplay,No Explicit Content,268466,79,0.551,0.636,F#,-7.125,major,0.0281,0.00713,0.00203,0.217,0.153,124.996,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
A Thousand Years (Part 2)Christina Perri Featuring Steve Kazee,No Explicit Content,305893,65,0.272,0.281,Bb,-8.131,major,0.0307,0.618,0,0.111,0.152,138.856,3,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
A View To A KillDuran Duran,No Explicit Content,217693,55,0.706,0.814,C#/Db,-5.405,major,0.0569,0.0159,0,0.262,0.778,125.472,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
A Whole New World (Aladdin's Theme)Peabo Bryson & Regina Belle,No Explicit Content,243493,64,0.516,0.32,D,-10.487,major,0.0303,0.627,0,0.144,0.131,107.894,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
A Woman Can Change A ManJoe Tex,No Explicit Content,164866,5,0.519,0.687,C,-13.092,major,0.432,0.657,0,0.399,0.836,144.294,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
A Woman's LoveAlan Jackson,No Explicit Content,253640,32,0.593,0.512,E,-10.268,major,0.0329,0.519,0.0507,0.185,0.407,139.334,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
A World Without LovePeter And Gordon,No Explicit Content,160880,45,0.512,0.658,C#/Db,-9.972,minor,0.0607,0.232,0,0.108,0.752,129.861,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
ABCJackson 5,No Explicit Content,177733,65,0.736,0.689,G#/Ab,-11.781,major,0.0437,0.523,0.000319,0.123,0.95,93.781,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
ANNIE's SONGJohn Denver,No Explicit Content,180693,70,0.304,0.305,D,-10.879,major,0.0298,0.871,0.00368,0.367,0.464,146.066,3,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
AbracadabraThe Steve Miller Band,Explicit Content,306856,0,0.732,0.556,A,-12.654,minor,0.0344,0.129,0.384,0.104,0.794,126.891,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
Absolute BeginnersDavid Bowie,No Explicit Content,337666,46,0.563,0.77,D,-8.672,major,0.0388,0.0712,0.125,0.205,0.43,114.229,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
Addicted To LoveRobert Palmer,No Explicit Content,363640,68,0.702,0.59,D,-12.76,major,0.0302,0.361,3.91E-6,0.0512,0.973,111.57,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
Advice For The Young At HeartTears For Fears,No Explicit Content,290640,58,0.665,0.787,F,-8.393,major,0.0328,0.0736,0.000132,0.143,0.358,122.478,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
AfricaToto,No Explicit Content,295893,84,0.671,0.373,A,-18.064,major,0.0323,0.257,0.0000795,0.0481,0.732,92.717,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
"After 12, Before 6Sam Salter",No Explicit Content,267160,28,0.783,0.36,E,-4.605,minor,0.0314,0.00184,0,0.0512,0.421,118.04,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
After AllAl Jarreau,No Explicit Content,259533,52,0.487,0.192,C#/Db,-17.308,major,0.0291,0.575,2.61E-6,0.0759,0.26,62.086,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
AfterglowTaylor Swift,No Explicit Content,223293,74,0.756,0.449,A,-8.746,major,0.0344,0.13,0,0.114,0.399,111.011,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
Afternoon DelightStarland Vocal Band,No Explicit Content,219673,17,0.561,0.253,E,-15.306,major,0.0454,0.988,0.916,0.0947,0.197,145.845,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
AgainJanet Jackson,No Explicit Content,301200,68,0.873,0.591,G,-8.942,major,0.102,0.0788,0.0071,0.104,0.496,123.091,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
Against All Odds (Take A Look At Me Now)Phil Collins,No Explicit Content,206360,75,0.58,0.498,C#/Db,-6.901,major,0.0277,0.198,0,0.132,0.111,116.271,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
Ain't Gonna Bump No More (with No Big Fat Woman)Joe Tex,No Explicit Content,403640,33,0.745,0.835,F#,-10.961,minor,0.0346,0.014,0.113,0.139,0.936,113.897,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
Ain't It FunnyJennifer Lopez Featuring Ja Rule,No Explicit Content,229800,58,0.781,0.746,G#/Ab,-2.686,major,0.17,0.364,0,0.098,0.786,89.43,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
Ain't No Mountain High EnoughDiana Ross,No Explicit Content,215200,61,0.393,0.792,G#/Ab,-5.076,major,0.0448,0.191,0.00364,0.376,0.379,98.757,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
Ain't Nobody HomeHoward Tate,No Explicit Content,146826,8,0.771,0.559,D,-7.168,major,0.0523,0.684,0,0.228,0.825,95.937,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
Al Di La'Emilio Pericoli,No Explicit Content,197137,36,0.32,0.301,B,-12.301,major,0.0293,0.682,0,0.123,0.217,84.918,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
Alice Long (You're Still My Favorite Girlfriend)Tommy Boyce & Bobby Hart,No Explicit Content,171240,16,0.54,0.848,C,-6.438,major,0.0375,0.0281,0.563,0.114,0.775,144.193,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
AliveBee Gees,No Explicit Content,285373,78,0.703,0.826,Bb,-7.179,minor,0.0341,0.0322,0.00629,0.179,0.945,103.564,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
All 4 LoveColor Me Badd,No Explicit Content,211493,52,0.807,0.75,D,-8.29,major,0.0315,0.0347,0.00017,0.149,0.797,106.389,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
All About That BassMeghan Trainor,Explicit Content,187920,71,0.807,0.887,A,-3.726,major,0.0503,0.0573,2.87E-6,0.124,0.961,134.052,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
All For OneHigh School Musical 2 Cast,No Explicit Content,253786,54,0.679,0.982,F,-3.207,major,0.126,0.151,0,0.634,0.837,150.054,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
All For YouJanet,No Explicit Content,272386,57,0.774,0.881,D,-4.681,major,0.0917,0.0107,0.0431,0.289,0.775,113.511,3,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
All I HaveJennifer Lopez Featuring LL Cool J,No Explicit Content,254466,58,0.699,0.668,C#/Db,-5.305,major,0.106,0.265,0,0.141,0.472,83.074,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
All I Want For Christmas Is YouMariah Carey,No Explicit Content,241106,95,0.335,0.625,G,-7.462,major,0.0386,0.164,0,0.0708,0.346,150.277,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
All I WantToad The Wet Sprocket,No Explicit Content,196333,58,0.6,0.811,F,-7.693,major,0.0788,0.0558,6.82E-6,0.109,0.622,124.303,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
All My LifeK-Ci & JoJo,No Explicit Content,331240,72,0.634,0.528,C#/Db,-8.834,major,0.0309,0.117,2.26E-6,0.0565,0.18,128,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
All My LovingThe Beatles,No Explicit Content,127853,69,0.416,0.563,C#/Db,-8.724,minor,0.0298,0.207,0,0.343,0.9,77.56,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
All Night Long (All Night)Lionel Richie,No Explicit Content,260426,65,0.739,0.576,C#/Db,-12.024,major,0.0472,0.122,0.00206,0.0482,0.78,108.81,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
All NightBeyonce,No Explicit Content,322000,68,0.574,0.573,B,-7.079,major,0.085,0.392,0.0000216,0.0933,0.626,136.304,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
All Of MeJohn Legend,No Explicit Content,269560,87,0.422,0.264,G#/Ab,-7.064,major,0.0322,0.922,0,0.132,0.331,119.93,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
All The Man That I NeedWhitney Houston,No Explicit Content,251426,55,0.485,0.577,F,-9.98,minor,0.0323,0.462,0,0.0486,0.286,150.888,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
All The Right MovesOneRepublic,No Explicit Content,238000,65,0.53,0.95,C,-3.526,major,0.0503,0.284,0.0000101,0.211,0.733,146.035,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
All Too WellTaylor Swift,No Explicit Content,327893,66,0.6,0.631,C,-7.783,major,0.0255,0.0398,0.000469,0.128,0.314,93.04,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
All You Need Is LoveThe Beatles,No Explicit Content,230386,69,0.4,0.48,G,-7.768,major,0.0295,0.346,0.000031,0.155,0.653,103.436,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
AllJames Darren,No Explicit Content,258399,23,0.192,0.185,F,-13.633,minor,0.0361,0.83,0.0000778,0.376,0.146,174.992,1,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
Almost Persuaded No. 2Ben Colder,No Explicit Content,199066,4,0.618,0.423,G,-8.83,major,0.0292,0.295,0,0.289,0.381,89.645,3,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
Alone Again (Naturally)Gilbert O'Sullivan,No Explicit Content,217728,54,0.558,0.464,G#/Ab,-8.488,minor,0.0354,0.583,0.000133,0.159,0.559,171.762,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
AloneHeart,No Explicit Content,218733,74,0.418,0.452,C#/Db,-13.099,major,0.0356,0.638,0.00026,0.0959,0.168,175.088,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
Already GoneKelly Clarkson,No Explicit Content,281560,58,0.209,0.872,A,-2.996,major,0.0757,0.217,0,0.0768,0.294,78.139,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
Always It's YouThe Everly Brothers,No Explicit Content,150426,27,0.519,0.18,F,-16.538,major,0.0285,0.867,4.05E-6,0.105,0.373,81.31,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
Always On TimeJa Rule Featuring Ashanti,Explicit Content,245133,73,0.607,0.714,F,-6.007,minor,0.278,0.205,0,0.301,0.827,96.619,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
AlwaysAtlantic Starr,No Explicit Content,288493,60,0.606,0.534,G,-6.758,major,0.0256,0.399,0.000973,0.356,0.328,130.945,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
AmandaBoston,No Explicit Content,256200,62,0.45,0.415,G,-14.028,major,0.0318,0.322,0,0.104,0.279,125.434,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
AmazedLonestar,No Explicit Content,239986,66,0.557,0.553,C#/Db,-7.954,major,0.0319,0.247,0,0.125,0.253,139.821,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
An Honest MistakeThe Bravery,No Explicit Content,219706,51,0.465,0.883,D,-4.259,minor,0.0297,3.29E-6,0.506,0.101,0.644,140.047,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
And I Love HerThe Beatles,No Explicit Content,149693,69,0.767,0.331,C#/Db,-10.777,minor,0.0337,0.64,0,0.0681,0.636,113.312,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
And My Heart Sang (Tra La La)Brenda & The Tabulations,No Explicit Content,198960,4,0.44,0.421,D,-8.944,major,0.0281,0.469,0,0.31,0.259,126.563,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
Angel Of MineMonica,No Explicit Content,250173,68,0.592,0.562,Bb,-6.869,minor,0.0239,0.00373,0.0000323,0.223,0.208,90.16,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
AngelShaggy Featuring Rayvon,No Explicit Content,235133,73,0.74,0.766,F#,-2.939,major,0.178,0.116,0,0.0406,0.807,170.531,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
Angie BabyHelen Reddy,No Explicit Content,210693,39,0.544,0.413,G,-12.602,minor,0.0487,0.547,0.0000228,0.0839,0.541,79.956,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
AngieThe Rolling Stones,No Explicit Content,272000,73,0.438,0.541,A,-6.012,minor,0.0294,0.725,0.000191,0.102,0.396,136.224,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
Animal I Have BecomeThree Days Grace,No Explicit Content,231400,73,0.553,0.853,G#/Ab,-3.668,major,0.0339,0.000684,0,0.126,0.506,122.023,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
Another Day In ParadisePhil Collins,No Explicit Content,322133,75,0.78,0.565,Eb,-7.32,minor,0.0306,0.736,0.00269,0.063,0.365,101.967,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
Another One Bites The DustQueen,No Explicit Content,214653,75,0.951,0.53,F,-6.594,minor,0.178,0.115,0.179,0.17,0.699,109.979,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
Another WayTevin Campbell,No Explicit Content,295357,25,0.779,0.537,G,-9.15,major,0.19,0.127,0,0.0488,0.856,79.028,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
AntisocialEd Sheeran & Travis Scott,No Explicit Content,161746,77,0.715,0.823,F,-5.313,minor,0.0495,0.133,0,0.361,0.91,151.956,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
Any Way You Want ItJourney,No Explicit Content,201693,72,0.529,0.932,G,-7.501,major,0.0488,0.00251,0.00109,0.136,0.571,138.158,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
AnymoreTeresa Brewer,No Explicit Content,141466,2,0.484,0.377,G,-11.145,major,0.0365,0.879,0,0.63,0.539,122.784,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
Anyone ElseCollin Raye,No Explicit Content,227706,24,0.623,0.646,F,-9.888,major,0.0316,0.035,0,0.0736,0.492,121.301,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
Anything For YouGloria Estefan & Miami Sound Machine,No Explicit Content,221866,47,0.582,0.397,F#,-13.099,major,0.033,0.655,0,0.0399,0.29,143.798,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
Anything GoesFlorida Georgia Line,No Explicit Content,218866,65,0.462,0.977,C,-3.805,major,0.045,0.00172,0,0.352,0.746,154.038,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
Are You Getting Enough HappinessHot Chocolate,No Explicit Content,352533,4,0.95,0.446,E,-9.659,major,0.05,0.204,0.00238,0.0819,0.948,117.426,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
Are You Happy Now?Cassadee Pope,No Explicit Content,230746,26,0.439,0.879,C#/Db,-4.791,major,0.0499,0.00196,0.000024,0.142,0.465,179.982,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
Are You There (With Another Girl)Dionne Warwick,No Explicit Content,172333,18,0.711,0.34,D,-15.446,major,0.0411,0.746,0.000758,0.214,0.664,120.818,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
Arthur's Theme (Best That You Can Do)Christopher Cross,No Explicit Content,234493,71,0.526,0.515,A,-11.169,major,0.0389,0.169,0.000816,0.181,0.518,136.543,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
Ass Like ThatEminem,Explicit Content,265480,62,0.505,0.795,D,-6.283,major,0.434,0.453,0,0.0998,0.734,89.669,3,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
At The ClubThe Drifters,No Explicit Content,173253,13,0.555,0.664,F,-9.631,major,0.0381,0.0733,0,0.252,0.974,127.177,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
At The StarsBetter Than Ezra,No Explicit Content,223866,33,0.377,0.874,F#,-5.253,minor,0.041,0.000444,0.000178,0.36,0.537,79.915,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
At This MomentBilly Vera & The Beaters,No Explicit Content,234506,44,0.578,0.286,F#,-7.371,major,0.0421,0.864,0.0000268,0.168,0.16,80.975,3,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
